Product: Custom Silver Necklace, Date: 2023-03-14, Sale Price: $71.22, Platform: Facebook, Likes: 85, Shares: 33, Comments: 28, Inquiries: 6,Sales: 3
Product: Decorative Beaded Bracelet, Date: 2023-03-20, Sale Price: $41.95, Platform: Twitter, Likes: 140, Shares: 94, Comments: 43, Inquiries: 5,Sales: 1
Product: Artisan Glass Earrings, Date: 2023-04-19, Sale Price: $88.48, Platform: Facebook, Likes: 175, Shares: 22, Comments: 35, Inquiries: 8,Sales: 4
Product: Eco-Friendly Bamboo Clock, Date: 2023-03-27, Sale Price: $38.38, Platform: Instagram, Likes: 491, Shares: 14, Comments: 49, Inquiries: 1,Sales: 0
Product: Artisan Glass Earrings, Date: 2023-05-06, Sale Price: $41.16, Platform: Instagram, Likes: 335, Shares: 72, Comments: 30, Inquiries: 8,Sales: 3
Product: Personalized Leather Wallet, Date: 2023-04-18, Sale Price: $26.16, Platform: Twitter, Likes: 255, Shares: 58, Comments: 23, Inquiries: 4,Sales: 0
Product: Natural Stone Coaster Set, Date: 2023-04-07, Sale Price: $44.68, Platform: Twitter, Likes: 343, Shares: 41, Comments: 42, Inquiries: 12,Sales: 2
Product: Artisan Glass Earrings, Date: 2023-03-02, Sale Price: $75.33, Platform: Instagram, Likes: 496, Shares: 16, Comments: 24, Inquiries: 2,Sales: 0
Product: Vintage Style Linen Dress, Date: 2023-03-25, Sale Price: $60.27, Platform: Twitter, Likes: 163, Shares: 61, Comments: 39, Inquiries: 13,Sales: 2
Product: Artisan Glass Earrings, Date: 2023-04-03, Sale Price: $90.37, Platform: Facebook, Likes: 171, Shares: 16, Comments: 8, Inquiries: 14,Sales: 7
Product: Handcrafted Wooden Bowl, Date: 2023-05-10, Sale Price: $76.51, Platform: Twitter, Likes: 406, Shares: 70, Comments: 26, Inquiries: 18,Sales: 3
Product: Custom Silver Necklace, Date: 2023-04-08, Sale Price: $30.74, Platform: Facebook, Likes: 53, Shares: 33, Comments: 21, Inquiries: 6,Sales: 3
Product: Custom Silver Necklace, Date: 2023-05-20, Sale Price: $41.63, Platform: Facebook, Likes: 279, Shares: 54, Comments: 15, Inquiries: 7,Sales: 3
Product: Personalized Leather Wallet, Date: 2023-03-05, Sale Price: $41.19, Platform: Instagram, Likes: 102, Shares: 36, Comments: 31, Inquiries: 16,Sales: 6
Product: Eco-Friendly Bamboo Clock, Date: 2023-04-27, Sale Price: $56.03, Platform: Facebook, Likes: 201, Shares: 41, Comments: 19, Inquiries: 14,Sales: 7
Product: Natural Stone Coaster Set, Date: 2023-03-02, Sale Price: $42.62, Platform: Instagram, Likes: 415, Shares: 75, Comments: 12, Inquiries: 9,Sales: 3
Product: Handcrafted Wooden Bowl, Date: 2023-04-13, Sale Price: $83.47, Platform: Twitter, Likes: 218, Shares: 13, Comments: 8, Inquiries: 10,Sales: 2
Product: Decorative Beaded Bracelet, Date: 2023-05-12, Sale Price: $21.64, Platform: Facebook, Likes: 114, Shares: 77, Comments: 13, Inquiries: 3,Sales: 1
Product: Custom Silver Necklace, Date: 2023-03-04, Sale Price: $31.59, Platform: Twitter, Likes: 395, Shares: 36, Comments: 47, Inquiries: 15,Sales: 3
Product: Artisan Glass Earrings, Date: 2023-03-28, Sale Price: $67.74, Platform: Instagram, Likes: 65, Shares: 70, Comments: 47, Inquiries: 14,Sales: 5
Product: Organic Cotton Scarf, Date: 2023-04-01, Sale Price: $84.35, Platform: Facebook, Likes: 491, Shares: 71, Comments: 11, Inquiries: 14,Sales: 7
Product: Custom Silver Necklace, Date: 2023-04-29, Sale Price: $84.56, Platform: Instagram, Likes: 493, Shares: 29, Comments: 7, Inquiries: 3,Sales: 1
Product: Handmade Ceramic Vase, Date: 2023-04-25, Sale Price: $32.87, Platform: Twitter, Likes: 446, Shares: 56, Comments: 40, Inquiries: 1,Sales: 0
Product: Artisan Glass Earrings, Date: 2023-03-25, Sale Price: $43.02, Platform: Facebook, Likes: 73, Shares: 57, Comments: 36, Inquiries: 12,Sales: 6
Product: Vintage Style Linen Dress, Date: 2023-03-11, Sale Price: $28.35, Platform: Facebook, Likes: 182, Shares: 95, Comments: 31, Inquiries: 0,Sales: 0
Product: Handcrafted Wooden Bowl, Date: 2023-03-08, Sale Price: $66.35, Platform: Twitter, Likes: 114, Shares: 89, Comments: 23, Inquiries: 5,Sales: 1
Product: Handcrafted Wooden Bowl, Date: 2023-03-01, Sale Price: $74.01, Platform: Facebook, Likes: 431, Shares: 94, Comments: 44, Inquiries: 7,Sales: 3
Product: Artisan Glass Earrings, Date: 2023-04-01, Sale Price: $61.44, Platform: Twitter, Likes: 361, Shares: 56, Comments: 33, Inquiries: 18,Sales: 3
Product: Handmade Ceramic Vase, Date: 2023-05-20, Sale Price: $27.75, Platform: Instagram, Likes: 214, Shares: 68, Comments: 28, Inquiries: 17,Sales: 6
Product: Eco-Friendly Bamboo Clock, Date: 2023-05-20, Sale Price: $75.84, Platform: Facebook, Likes: 202, Shares: 99, Comments: 9, Inquiries: 19,Sales: 9
Product: Organic Cotton Scarf, Date: 2023-04-29, Sale Price: $95.83, Platform: Facebook, Likes: 233, Shares: 67, Comments: 31, Inquiries: 14,Sales: 7
Product: Natural Stone Coaster Set, Date: 2023-05-05, Sale Price: $86.33, Platform: Instagram, Likes: 149, Shares: 55, Comments: 6, Inquiries: 1,Sales: 0
Product: Eco-Friendly Bamboo Clock, Date: 2023-05-02, Sale Price: $64.61, Platform: Twitter, Likes: 239, Shares: 45, Comments: 46, Inquiries: 17,Sales: 3
Product: Organic Cotton Scarf, Date: 2023-05-08, Sale Price: $71.84, Platform: Facebook, Likes: 288, Shares: 54, Comments: 20, Inquiries: 9,Sales: 4
Product: Organic Cotton Scarf, Date: 2023-04-22, Sale Price: $41.67, Platform: Twitter, Likes: 169, Shares: 60, Comments: 42, Inquiries: 9,Sales: 1
Product: Handcrafted Wooden Bowl, Date: 2023-04-06, Sale Price: $79.67, Platform: Facebook, Likes: 399, Shares: 66, Comments: 8, Inquiries: 17,Sales: 8
Product: Custom Silver Necklace, Date: 2023-03-26, Sale Price: $84.08, Platform: Facebook, Likes: 71, Shares: 37, Comments: 24, Inquiries: 13,Sales: 6
Product: Handmade Ceramic Vase, Date: 2023-05-30, Sale Price: $29.1, Platform: Instagram, Likes: 142, Shares: 66, Comments: 24, Inquiries: 13,Sales: 5
Product: Eco-Friendly Bamboo Clock, Date: 2023-03-17, Sale Price: $91.42, Platform: Twitter, Likes: 273, Shares: 41, Comments: 42, Inquiries: 19,Sales: 3
Product: Decorative Beaded Bracelet, Date: 2023-03-11, Sale Price: $57.79, Platform: Twitter, Likes: 310, Shares: 44, Comments: 13, Inquiries: 2,Sales: 0
Product: Personalized Leather Wallet, Date: 2023-04-26, Sale Price: $24.89, Platform: Twitter, Likes: 116, Shares: 62, Comments: 18, Inquiries: 9,Sales: 1
Product: Natural Stone Coaster Set, Date: 2023-05-19, Sale Price: $96.85, Platform: Twitter, Likes: 273, Shares: 36, Comments: 47, Inquiries: 14,Sales: 2
Product: Artisan Glass Earrings, Date: 2023-05-17, Sale Price: $99.5, Platform: Twitter, Likes: 394, Shares: 13, Comments: 31, Inquiries: 18,Sales: 3
Product: Organic Cotton Scarf, Date: 2023-03-02, Sale Price: $77.14, Platform: Twitter, Likes: 210, Shares: 81, Comments: 13, Inquiries: 20,Sales: 4
Product: Custom Silver Necklace, Date: 2023-05-21, Sale Price: $44.34, Platform: Twitter, Likes: 485, Shares: 65, Comments: 20, Inquiries: 6,Sales: 1
Product: Decorative Beaded Bracelet, Date: 2023-05-06, Sale Price: $34.59, Platform: Twitter, Likes: 111, Shares: 24, Comments: 39, Inquiries: 5,Sales: 1
Product: Handcrafted Wooden Bowl, Date: 2023-04-03, Sale Price: $97.74, Platform: Twitter, Likes: 112, Shares: 33, Comments: 32, Inquiries: 15,Sales: 3
Product: Handmade Ceramic Vase, Date: 2023-04-08, Sale Price: $22.55, Platform: Instagram, Likes: 75, Shares: 68, Comments: 11, Inquiries: 4,Sales: 1
Product: Decorative Beaded Bracelet, Date: 2023-05-04, Sale Price: $58.46, Platform: Instagram, Likes: 492, Shares: 67, Comments: 21, Inquiries: 5,Sales: 2
Product: Artisan Glass Earrings, Date: 2023-05-03, Sale Price: $49.77, Platform: Instagram, Likes: 349, Shares: 73, Comments: 9, Inquiries: 5,Sales: 2
Product: Eco-Friendly Bamboo Clock, Date: 2023-05-20, Sale Price: $88.68, Platform: Instagram, Likes: 430, Shares: 29, Comments: 36, Inquiries: 5,Sales: 2
Product: Custom Silver Necklace, Date: 2023-05-11, Sale Price: $52.33, Platform: Twitter, Likes: 176, Shares: 72, Comments: 37, Inquiries: 17,Sales: 3
Product: Handmade Ceramic Vase, Date: 2023-03-18, Sale Price: $38.35, Platform: Twitter, Likes: 370, Shares: 31, Comments: 19, Inquiries: 14,Sales: 2
Product: Decorative Beaded Bracelet, Date: 2023-05-02, Sale Price: $83.04, Platform: Instagram, Likes: 166, Shares: 20, Comments: 50, Inquiries: 10,Sales: 4
Product: Eco-Friendly Bamboo Clock, Date: 2023-04-01, Sale Price: $83.09, Platform: Instagram, Likes: 229, Shares: 55, Comments: 46, Inquiries: 8,Sales: 3
Product: Vintage Style Linen Dress, Date: 2023-04-19, Sale Price: $82.56, Platform: Instagram, Likes: 273, Shares: 68, Comments: 47, Inquiries: 10,Sales: 4
Product: Decorative Beaded Bracelet, Date: 2023-04-03, Sale Price: $45.1, Platform: Instagram, Likes: 155, Shares: 45, Comments: 22, Inquiries: 6,Sales: 2
Product: Artisan Glass Earrings, Date: 2023-04-15, Sale Price: $89.37, Platform: Instagram, Likes: 324, Shares: 48, Comments: 43, Inquiries: 14,Sales: 5
Product: Handmade Ceramic Vase, Date: 2023-05-06, Sale Price: $49.86, Platform: Twitter, Likes: 96, Shares: 10, Comments: 20, Inquiries: 10,Sales: 2
Product: Eco-Friendly Bamboo Clock, Date: 2023-04-08, Sale Price: $73.54, Platform: Facebook, Likes: 251, Shares: 37, Comments: 11, Inquiries: 19,Sales: 9
Product: Organic Cotton Scarf, Date: 2023-05-13, Sale Price: $73.46, Platform: Twitter, Likes: 474, Shares: 16, Comments: 13, Inquiries: 2,Sales: 0
Product: Artisan Glass Earrings, Date: 2023-04-26, Sale Price: $26.34, Platform: Twitter, Likes: 138, Shares: 11, Comments: 37, Inquiries: 10,Sales: 2
Product: Decorative Beaded Bracelet, Date: 2023-04-25, Sale Price: $24.07, Platform: Facebook, Likes: 327, Shares: 30, Comments: 45, Inquiries: 3,Sales: 1
Product: Artisan Glass Earrings, Date: 2023-05-10, Sale Price: $80.68, Platform: Instagram, Likes: 272, Shares: 82, Comments: 47, Inquiries: 19,Sales: 7
Product: Artisan Glass Earrings, Date: 2023-04-18, Sale Price: $92.38, Platform: Instagram, Likes: 307, Shares: 92, Comments: 6, Inquiries: 8,Sales: 3
Product: Custom Silver Necklace, Date: 2023-04-15, Sale Price: $75.66, Platform: Facebook, Likes: 183, Shares: 10, Comments: 50, Inquiries: 15,Sales: 7
Product: Decorative Beaded Bracelet, Date: 2023-04-02, Sale Price: $57.97, Platform: Twitter, Likes: 396, Shares: 65, Comments: 13, Inquiries: 7,Sales: 1
Product: Eco-Friendly Bamboo Clock, Date: 2023-04-12, Sale Price: $99.65, Platform: Instagram, Likes: 108, Shares: 50, Comments: 8, Inquiries: 18,Sales: 7
Product: Vintage Style Linen Dress, Date: 2023-05-05, Sale Price: $72.22, Platform: Instagram, Likes: 253, Shares: 16, Comments: 26, Inquiries: 11,Sales: 4
Product: Eco-Friendly Bamboo Clock, Date: 2023-05-02, Sale Price: $94.86, Platform: Instagram, Likes: 186, Shares: 77, Comments: 45, Inquiries: 4,Sales: 1
Product: Artisan Glass Earrings, Date: 2023-03-29, Sale Price: $27.67, Platform: Twitter, Likes: 129, Shares: 10, Comments: 44, Inquiries: 11,Sales: 2
Product: Vintage Style Linen Dress, Date: 2023-03-05, Sale Price: $81.01, Platform: Instagram, Likes: 109, Shares: 99, Comments: 25, Inquiries: 16,Sales: 6
Product: Personalized Leather Wallet, Date: 2023-04-16, Sale Price: $96.11, Platform: Twitter, Likes: 394, Shares: 33, Comments: 13, Inquiries: 18,Sales: 3
Product: Personalized Leather Wallet, Date: 2023-04-03, Sale Price: $51.42, Platform: Twitter, Likes: 482, Shares: 77, Comments: 16, Inquiries: 19,Sales: 3
Product: Artisan Glass Earrings, Date: 2023-05-26, Sale Price: $45.98, Platform: Instagram, Likes: 497, Shares: 18, Comments: 37, Inquiries: 17,Sales: 6
Product: Eco-Friendly Bamboo Clock, Date: 2023-05-15, Sale Price: $73.98, Platform: Twitter, Likes: 280, Shares: 97, Comments: 49, Inquiries: 7,Sales: 1
Product: Artisan Glass Earrings, Date: 2023-04-05, Sale Price: $25.63, Platform: Facebook, Likes: 287, Shares: 72, Comments: 44, Inquiries: 10,Sales: 5
Product: Eco-Friendly Bamboo Clock, Date: 2023-03-22, Sale Price: $71.39, Platform: Facebook, Likes: 424, Shares: 51, Comments: 16, Inquiries: 4,Sales: 2
Product: Artisan Glass Earrings, Date: 2023-03-11, Sale Price: $21.82, Platform: Instagram, Likes: 294, Shares: 94, Comments: 9, Inquiries: 3,Sales: 1
Product: Handcrafted Wooden Bowl, Date: 2023-03-15, Sale Price: $23.23, Platform: Facebook, Likes: 437, Shares: 19, Comments: 42, Inquiries: 2,Sales: 1
Product: Decorative Beaded Bracelet, Date: 2023-05-21, Sale Price: $66.5, Platform: Instagram, Likes: 275, Shares: 18, Comments: 24, Inquiries: 16,Sales: 6
Product: Decorative Beaded Bracelet, Date: 2023-05-15, Sale Price: $89.28, Platform: Twitter, Likes: 113, Shares: 28, Comments: 33, Inquiries: 10,Sales: 2
Product: Handmade Ceramic Vase, Date: 2023-05-04, Sale Price: $47.36, Platform: Twitter, Likes: 104, Shares: 37, Comments: 38, Inquiries: 17,Sales: 3
Product: Artisan Glass Earrings, Date: 2023-03-28, Sale Price: $95.22, Platform: Twitter, Likes: 369, Shares: 18, Comments: 41, Inquiries: 15,Sales: 3
Product: Handcrafted Wooden Bowl, Date: 2023-04-14, Sale Price: $26.03, Platform: Instagram, Likes: 57, Shares: 58, Comments: 5, Inquiries: 9,Sales: 3
Product: Custom Silver Necklace, Date: 2023-03-09, Sale Price: $65.66, Platform: Instagram, Likes: 227, Shares: 29, Comments: 44, Inquiries: 19,Sales: 7
Product: Personalized Leather Wallet, Date: 2023-03-28, Sale Price: $52.68, Platform: Facebook, Likes: 424, Shares: 36, Comments: 22, Inquiries: 20,Sales: 10
Product: Decorative Beaded Bracelet, Date: 2023-05-02, Sale Price: $88.06, Platform: Twitter, Likes: 415, Shares: 83, Comments: 44, Inquiries: 11,Sales: 2
Product: Natural Stone Coaster Set, Date: 2023-05-19, Sale Price: $48.26, Platform: Facebook, Likes: 67, Shares: 61, Comments: 15, Inquiries: 12,Sales: 6
Product: Personalized Leather Wallet, Date: 2023-04-08, Sale Price: $86.48, Platform: Instagram, Likes: 178, Shares: 14, Comments: 22, Inquiries: 16,Sales: 6
Product: Natural Stone Coaster Set, Date: 2023-03-04, Sale Price: $28.65, Platform: Instagram, Likes: 167, Shares: 49, Comments: 45, Inquiries: 17,Sales: 6
Product: Vintage Style Linen Dress, Date: 2023-03-12, Sale Price: $57.02, Platform: Facebook, Likes: 336, Shares: 35, Comments: 14, Inquiries: 3,Sales: 1
Product: Custom Silver Necklace, Date: 2023-04-10, Sale Price: $33.9, Platform: Twitter, Likes: 450, Shares: 23, Comments: 46, Inquiries: 0,Sales: 0
Product: Organic Cotton Scarf, Date: 2023-03-21, Sale Price: $83.76, Platform: Facebook, Likes: 430, Shares: 33, Comments: 9, Inquiries: 20,Sales: 10
Product: Handmade Ceramic Vase, Date: 2023-04-22, Sale Price: $45.15, Platform: Twitter, Likes: 164, Shares: 64, Comments: 10, Inquiries: 5,Sales: 1
Product: Artisan Glass Earrings, Date: 2023-03-10, Sale Price: $89.18, Platform: Facebook, Likes: 367, Shares: 45, Comments: 20, Inquiries: 7,Sales: 3
Product: Organic Cotton Scarf, Date: 2023-05-17, Sale Price: $28.63, Platform: Facebook, Likes: 313, Shares: 86, Comments: 47, Inquiries: 5,Sales: 2
Product: Artisan Glass Earrings, Date: 2023-04-07, Sale Price: $49.18, Platform: Instagram, Likes: 104, Shares: 95, Comments: 40, Inquiries: 20,Sales: 8
Product: Eco-Friendly Bamboo Clock, Date: 2023-04-18, Sale Price: $61.42, Platform: Facebook, Likes: 177, Shares: 32, Comments: 36, Inquiries: 5,Sales: 2
Product: Vintage Style Linen Dress, Date: 2023-05-09, Sale Price: $49.68, Platform: Instagram, Likes: 175, Shares: 92, Comments: 14, Inquiries: 1,Sales: 0
Product: Vintage Style Linen Dress, Date: 2023-05-28, Sale Price: $25.78, Platform: Facebook, Likes: 325, Shares: 80, Comments: 49, Inquiries: 11,Sales: 5
Product: Personalized Leather Wallet, Date: 2023-04-12, Sale Price: $32.51, Platform: Facebook, Likes: 453, Shares: 64, Comments: 17, Inquiries: 12,Sales: 6
Product: Artisan Glass Earrings, Date: 2023-05-26, Sale Price: $46.6, Platform: Twitter, Likes: 251, Shares: 74, Comments: 36, Inquiries: 15,Sales: 3
Product: Organic Cotton Scarf, Date: 2023-03-02, Sale Price: $95.21, Platform: Instagram, Likes: 108, Shares: 22, Comments: 42, Inquiries: 20,Sales: 8
Product: Artisan Glass Earrings, Date: 2023-05-19, Sale Price: $22.93, Platform: Twitter, Likes: 495, Shares: 83, Comments: 38, Inquiries: 0,Sales: 0
Product: Personalized Leather Wallet, Date: 2023-05-21, Sale Price: $28.53, Platform: Instagram, Likes: 151, Shares: 99, Comments: 26, Inquiries: 14,Sales: 5
Product: Personalized Leather Wallet, Date: 2023-05-23, Sale Price: $62.46, Platform: Facebook, Likes: 69, Shares: 37, Comments: 30, Inquiries: 12,Sales: 6
Product: Custom Silver Necklace, Date: 2023-04-14, Sale Price: $69.21, Platform: Facebook, Likes: 243, Shares: 99, Comments: 19, Inquiries: 16,Sales: 8
Product: Vintage Style Linen Dress, Date: 2023-03-04, Sale Price: $88.86, Platform: Twitter, Likes: 260, Shares: 54, Comments: 9, Inquiries: 0,Sales: 0
Product: Organic Cotton Scarf, Date: 2023-05-30, Sale Price: $77.78, Platform: Twitter, Likes: 229, Shares: 39, Comments: 14, Inquiries: 8,Sales: 1
Product: Artisan Glass Earrings, Date: 2023-05-23, Sale Price: $48.66, Platform: Twitter, Likes: 405, Shares: 83, Comments: 22, Inquiries: 20,Sales: 4
Product: Artisan Glass Earrings, Date: 2023-05-24, Sale Price: $42.34, Platform: Facebook, Likes: 93, Shares: 21, Comments: 35, Inquiries: 4,Sales: 2
Product: Handcrafted Wooden Bowl, Date: 2023-05-22, Sale Price: $47.52, Platform: Twitter, Likes: 102, Shares: 17, Comments: 5, Inquiries: 13,Sales: 2
Product: Organic Cotton Scarf, Date: 2023-04-04, Sale Price: $36.33, Platform: Facebook, Likes: 326, Shares: 55, Comments: 36, Inquiries: 10,Sales: 5
Product: Handmade Ceramic Vase, Date: 2023-03-22, Sale Price: $74.62, Platform: Twitter, Likes: 337, Shares: 31, Comments: 22, Inquiries: 13,Sales: 2
Product: Natural Stone Coaster Set, Date: 2023-04-08, Sale Price: $33.88, Platform: Twitter, Likes: 153, Shares: 54, Comments: 19, Inquiries: 17,Sales: 3
Product: Eco-Friendly Bamboo Clock, Date: 2023-03-15, Sale Price: $49.47, Platform: Facebook, Likes: 368, Shares: 55, Comments: 8, Inquiries: 5,Sales: 2
Product: Organic Cotton Scarf, Date: 2023-03-15, Sale Price: $40.36, Platform: Twitter, Likes: 244, Shares: 15, Comments: 28, Inquiries: 5,Sales: 1
Product: Organic Cotton Scarf, Date: 2023-05-10, Sale Price: $34.28, Platform: Instagram, Likes: 281, Shares: 92, Comments: 9, Inquiries: 14,Sales: 5
Product: Artisan Glass Earrings, Date: 2023-05-20, Sale Price: $41.4, Platform: Twitter, Likes: 381, Shares: 60, Comments: 43, Inquiries: 16,Sales: 3
Product: Artisan Glass Earrings, Date: 2023-04-27, Sale Price: $41.08, Platform: Twitter, Likes: 78, Shares: 35, Comments: 8, Inquiries: 5,Sales: 1
Product: Personalized Leather Wallet, Date: 2023-03-18, Sale Price: $93.14, Platform: Facebook, Likes: 386, Shares: 85, Comments: 8, Inquiries: 7,Sales: 3
Product: Handmade Ceramic Vase, Date: 2023-03-11, Sale Price: $37.23, Platform: Twitter, Likes: 160, Shares: 75, Comments: 18, Inquiries: 20,Sales: 4
Product: Artisan Glass Earrings, Date: 2023-04-02, Sale Price: $87.78, Platform: Twitter, Likes: 334, Shares: 97, Comments: 12, Inquiries: 3,Sales: 0
Product: Handmade Ceramic Vase, Date: 2023-03-25, Sale Price: $49.55, Platform: Facebook, Likes: 352, Shares: 63, Comments: 24, Inquiries: 4,Sales: 2
Product: Custom Silver Necklace, Date: 2023-04-03, Sale Price: $33.66, Platform: Twitter, Likes: 412, Shares: 30, Comments: 16, Inquiries: 12,Sales: 2
Product: Natural Stone Coaster Set, Date: 2023-05-22, Sale Price: $86.72, Platform: Twitter, Likes: 331, Shares: 21, Comments: 20, Inquiries: 4,Sales: 0
Product: Eco-Friendly Bamboo Clock, Date: 2023-05-24, Sale Price: $25.15, Platform: Facebook, Likes: 432, Shares: 51, Comments: 26, Inquiries: 12,Sales: 6
Product: Handmade Ceramic Vase, Date: 2023-03-14, Sale Price: $75.22, Platform: Facebook, Likes: 212, Shares: 92, Comments: 50, Inquiries: 8,Sales: 4
Product: Handcrafted Wooden Bowl, Date: 2023-03-09, Sale Price: $28.85, Platform: Twitter, Likes: 276, Shares: 100, Comments: 39, Inquiries: 9,Sales: 1
Product: Handmade Ceramic Vase, Date: 2023-05-05, Sale Price: $64.87, Platform: Instagram, Likes: 268, Shares: 49, Comments: 11, Inquiries: 20,Sales: 8
Product: Decorative Beaded Bracelet, Date: 2023-03-11, Sale Price: $84.91, Platform: Twitter, Likes: 199, Shares: 89, Comments: 42, Inquiries: 4,Sales: 0
