Product,Date,Sale Price,Platform,Likes,Shares,Comments,Inquiries,Sales
Artisan Glass Earrings,2023-04-15,89.37,Instagram,324,48,43,14,5
Handmade Ceramic Vase,2023-05-06,49.86,Twitter,96,10,20,10,2
Eco-Friendly Bamboo Clock,2023-04-08,73.54,Facebook,251,37,11,19,9
Organic Cotton Scarf,2023-05-13,73.46,Twitter,474,16,13,2,0
Artisan Glass Earrings,2023-04-26,26.34,Twitter,138,11,37,10,2
Decorative Beaded Bracelet,2023-04-25,24.07,Facebook,327,30,45,3,1
Artisan Glass Earrings,2023-05-10,80.68,Instagram,272,82,47,19,7
Artisan Glass Earrings,2023-04-18,92.38,Instagram,307,92,6,8,3
Custom Silver Necklace,2023-04-15,75.66,Facebook,183,10,50,15,7
Decorative Beaded Bracelet,2023-04-02,57.97,Twitter,396,65,13,7,1
Eco-Friendly Bamboo Clock,2023-04-12,99.65,Instagram,108,50,8,18,7
Vintage Style Linen Dress,2023-05-05,72.22,Instagram,253,16,26,11,4
Eco-Friendly Bamboo Clock,2023-05-02,94.86,Instagram,186,77,45,4,1
Artisan Glass Earrings,2023-03-29,27.67,Twitter,129,10,44,11,2
Vintage Style Linen Dress,2023-03-05,81.01,Instagram,109,99,25,16,6
Personalized Leather Wallet,2023-04-16,96.11,Twitter,394,33,13,18,3
Personalized Leather Wallet,2023-04-03,51.42,Twitter,482,77,16,19,3
Artisan Glass Earrings,2023-05-26,45.98,Instagram,497,18,37,17,6
Eco-Friendly Bamboo Clock,2023-05-15,73.98,Twitter,280,97,49,7,1
Artisan Glass Earrings,2023-04-05,25.63,Facebook,287,72,44,10,5
Eco-Friendly Bamboo Clock,2023-03-22,71.39,Facebook,424,51,16,4,2
Artisan Glass Earrings,2023-03-11,21.82,Instagram,294,94,9,3,1
Handcrafted Wooden Bowl,2023-03-15,23.23,Facebook,437,19,42,2,1
Decorative Beaded Bracelet,2023-05-21,66.5,Instagram,275,18,24,16,6
Decorative Beaded Bracelet,2023-05-15,89.28,Twitter,113,28,33,10,2
Handmade Ceramic Vase,2023-05-04,47.36,Twitter,104,37,38,17,3
Artisan Glass Earrings,2023-03-28,95.22,Twitter,369,18,41,15,3
Handcrafted Wooden Bowl,2023-04-14,26.03,Instagram,57,58,5,9,3
Custom Silver Necklace,2023-03-09,65.66,Instagram,227,29,44,19,7
Personalized Leather Wallet,2023-03-28,52.68,Facebook,424,36,22,20,10
Decorative Beaded Bracelet,2023-05-02,88.06,Twitter,415,83,44,11,2
Natural Stone Coaster Set,2023-05-19,48.26,Facebook,67,61,15,12,6
Personalized Leather Wallet,2023-04-08,86.48,Instagram,178,14,22,16,6
Natural Stone Coaster Set,2023-03-04,28.65,Instagram,167,49,45,17,6
Vintage Style Linen Dress,2023-03-12,57.02,Facebook,336,35,14,3,1
Custom Silver Necklace,2023-04-10,33.9,Twitter,450,23,46,0,0
Organic Cotton Scarf,2023-03-21,83.76,Facebook,430,33,9,20,10
Handmade Ceramic Vase,2023-04-22,45.15,Twitter,164,64,10,5,1
Artisan Glass Earrings,2023-03-10,89.18,Facebook,367,45,20,7,3
Organic Cotton Scarf,2023-05-17,28.63,Facebook,313,86,47,5,2
Artisan Glass Earrings,2023-04-07,49.18,Instagram,104,95,40,20,8
Eco-Friendly Bamboo Clock,2023-04-18,61.42,Facebook,177,32,36,5,2
Vintage Style Linen Dress,2023-05-09,49.68,Instagram,175,92,14,1,0
Vintage Style Linen Dress,2023-05-28,25.78,Facebook,325,80,49,11,5
Personalized Leather Wallet,2023-04-12,32.51,Facebook,453,64,17,12,6
Artisan Glass Earrings,2023-05-26,46.6,Twitter,251,74,36,15,3
Organic Cotton Scarf,2023-03-02,95.21,Instagram,108,22,42,20,8
Artisan Glass Earrings,2023-05-19,22.93,Twitter,495,83,38,0,0
Personalized Leather Wallet,2023-05-21,28.53,Instagram,151,99,26,14,5
Personalized Leather Wallet,2023-05-23,62.46,Facebook,69,37,30,12,6
Custom Silver Necklace,2023-04-14,69.21,Facebook,243,99,19,16,8
Vintage Style Linen Dress,2023-03-04,88.86,Twitter,260,54,9,0,0
Organic Cotton Scarf,2023-05-30,77.78,Twitter,229,39,14,8,1
Artisan Glass Earrings,2023-05-23,48.66,Twitter,405,83,22,20,4
Artisan Glass Earrings,2023-05-24,42.34,Facebook,93,21,35,4,2
Handcrafted Wooden Bowl,2023-05-22,47.52,Twitter,102,17,5,13,2
Organic Cotton Scarf,2023-04-04,36.33,Facebook,326,55,36,10,5
Handmade Ceramic Vase,2023-03-22,74.62,Twitter,337,31,22,13,2
Natural Stone Coaster Set,2023-04-08,33.88,Twitter,153,54,19,17,3
Eco-Friendly Bamboo Clock,2023-03-15,49.47,Facebook,368,55,8,5,2
Organic Cotton Scarf,2023-03-15,40.36,Twitter,244,15,28,5,1
Organic Cotton Scarf,2023-05-10,34.28,Instagram,281,92,9,14,5
Artisan Glass Earrings,2023-05-20,41.4,Twitter,381,60,43,16,3
Artisan Glass Earrings,2023-04-27,41.08,Twitter,78,35,8,5,1
Personalized Leather Wallet,2023-03-18,93.14,Facebook,386,85,8,7,3
Handmade Ceramic Vase,2023-03-11,37.23,Twitter,160,75,18,20,4
Artisan Glass Earrings,2023-04-02,87.78,Twitter,334,97,12,3,0
Handmade Ceramic Vase,2023-03-25,49.55,Facebook,352,63,24,4,2
Custom Silver Necklace,2023-04-03,33.66,Twitter,412,30,16,12,2
Natural Stone Coaster Set,2023-05-22,86.72,Twitter,331,21,20,4,0
Eco-Friendly Bamboo Clock,2023-05-24,25.15,Facebook,432,51,26,12,6
Handmade Ceramic Vase,2023-03-14,75.22,Facebook,212,92,50,8,4
Handcrafted Wooden Bowl,2023-03-09,28.85,Twitter,276,100,39,9,1
Handmade Ceramic Vase,2023-05-05,64.87,Instagram,268,49,11,20,8
Decorative Beaded Bracelet,2023-03-11,84.91,Twitter,199,89,42,4,0
Organic Cotton Scarf,2023-03-04,62.9,Facebook,418,79,11,4,2
Decorative Beaded Bracelet,2023-03-06,40.01,Facebook,111,32,33,16,8
Handmade Ceramic Vase,2023-03-06,79.27,Facebook,153,69,8,4,2
Handmade Ceramic Vase,2023-03-24,99.48,Facebook,75,83,23,17,8
Personalized Leather Wallet,2023-04-02,88.28,Facebook,196,66,35,5,2
Vintage Style Linen Dress,2023-04-24,33.14,Instagram,287,85,38,9,3
Custom Silver Necklace,2023-05-21,68.5,Instagram,69,44,37,8,3
Personalized Leather Wallet,2023-04-22,48.76,Instagram,89,23,38,4,1
Handmade Ceramic Vase,2023-03-11,88.44,Instagram,216,39,37,18,7
Natural Stone Coaster Set,2023-03-13,94.94,Twitter,383,83,39,2,0
Handmade Ceramic Vase,2023-03-11,46.68,Twitter,219,82,43,1,0
Natural Stone Coaster Set,2023-03-15,80.43,Facebook,207,60,41,19,9
Handcrafted Wooden Bowl,2023-04-21,40.94,Instagram,296,69,24,8,3
Decorative Beaded Bracelet,2023-05-24,31.1,Twitter,73,27,37,5,1
Handcrafted Wooden Bowl,2023-05-19,74.48,Instagram,301,40,34,18,7
Vintage Style Linen Dress,2023-05-02,83.47,Instagram,175,22,13,0,0
Handmade Ceramic Vase,2023-03-19,35.58,Instagram,281,84,28,4,1
Decorative Beaded Bracelet,2023-04-28,34.72,Instagram,134,88,18,6,2
Handcrafted Wooden Bowl,2023-05-03,30.1,Instagram,90,49,47,12,4
Custom Silver Necklace,2023-04-26,55.51,Twitter,229,56,31,17,3
Personalized Leather Wallet,2023-05-20,57.94,Facebook,336,55,46,6,3
Vintage Style Linen Dress,2023-05-22,86.27,Facebook,230,59,17,4,2
Personalized Leather Wallet,2023-05-04,54.8,Instagram,188,14,6,19,7
Decorative Beaded Bracelet,2023-05-05,93.43,Twitter,292,59,30,20,4
Handmade Ceramic Vase,2023-05-27,64.65,Facebook,271,40,46,9,4
Personalized Leather Wallet,2023-03-16,24.29,Twitter,439,83,33,4,0
Artisan Glass Earrings,2023-05-26,95.84,Instagram,413,32,30,14,5
Handcrafted Wooden Bowl,2023-05-12,79.97,Instagram,388,53,22,16,6
Organic Cotton Scarf,2023-05-06,35.82,Facebook,236,62,22,19,9
Personalized Leather Wallet,2023-03-25,61.09,Instagram,69,82,26,9,3
Organic Cotton Scarf,2023-05-14,25.01,Twitter,127,15,44,17,3
Vintage Style Linen Dress,2023-04-02,39.75,Instagram,149,90,45,15,6
Handcrafted Wooden Bowl,2023-05-23,60.23,Facebook,293,60,47,3,1
Handcrafted Wooden Bowl,2023-03-31,82.21,Facebook,324,89,48,10,5
Eco-Friendly Bamboo Clock,2023-04-03,95.4,Facebook,58,45,24,17,8
Personalized Leather Wallet,2023-04-17,38.42,Instagram,468,94,38,14,5
Decorative Beaded Bracelet,2023-04-03,24.42,Facebook,249,58,11,12,6
Eco-Friendly Bamboo Clock,2023-03-19,37.94,Instagram,160,85,23,7,2
Handcrafted Wooden Bowl,2023-05-13,51.88,Facebook,204,72,17,17,8
Natural Stone Coaster Set,2023-04-22,82.34,Facebook,222,27,35,17,8
Artisan Glass Earrings,2023-03-14,23.45,Facebook,459,39,21,0,0
Eco-Friendly Bamboo Clock,2023-05-08,32.16,Twitter,374,46,7,19,3
Vintage Style Linen Dress,2023-05-09,81.25,Twitter,253,30,17,20,4
Decorative Beaded Bracelet,2023-05-14,72.6,Twitter,125,99,34,17,3
Organic Cotton Scarf,2023-03-07,26.65,Instagram,297,12,34,13,5
Handcrafted Wooden Bowl,2023-05-12,68.98,Instagram,173,64,44,17,6
Eco-Friendly Bamboo Clock,2023-05-30,62.28,Twitter,160,79,28,16,3
Decorative Beaded Bracelet,2023-05-14,26.23,Facebook,446,100,22,19,9
Natural Stone Coaster Set,2023-04-29,86.82,Facebook,323,82,15,11,5
Handcrafted Wooden Bowl,2023-03-05,38.4,Instagram,364,52,35,16,6
Artisan Glass Earrings,2023-04-19,51.58,Twitter,305,16,40,14,2
Handcrafted Wooden Bowl,2023-05-26,21.1,Facebook,278,70,46,18,9
Handcrafted Wooden Bowl,2023-04-16,94.88,Twitter,460,33,42,1,0
Personalized Leather Wallet,2023-04-20,42.76,Twitter,168,95,18,14,2
Vintage Style Linen Dress,2023-05-01,46.06,Instagram,420,42,26,5,2
Organic Cotton Scarf,2023-05-16,51.87,Twitter,359,26,5,1,0
Vintage Style Linen Dress,2023-04-13,26.48,Instagram,359,51,23,1,0
Organic Cotton Scarf,2023-04-26,32.31,Twitter,128,45,25,13,2
Organic Cotton Scarf,2023-03-16,77.01,Facebook,313,11,21,14,7
Vintage Style Linen Dress,2023-05-02,22.57,Instagram,230,81,10,13,5
Decorative Beaded Bracelet,2023-03-28,32.59,Twitter,73,19,50,16,3
Organic Cotton Scarf,2023-04-30,53.65,Instagram,465,48,27,4,1
Eco-Friendly Bamboo Clock,2023-03-14,66.12,Twitter,349,51,6,8,1
Custom Silver Necklace,2023-03-04,88.5,Twitter,50,85,29,16,3
Decorative Beaded Bracelet,2023-04-13,33.34,Twitter,274,91,45,3,0
Decorative Beaded Bracelet,2023-04-08,56.46,Twitter,161,31,10,15,3
Natural Stone Coaster Set,2023-04-06,44.51,Twitter,96,67,9,10,2
Organic Cotton Scarf,2023-04-18,85.88,Instagram,87,40,20,17,6
Artisan Glass Earrings,2023-05-02,81.21,Twitter,413,14,48,8,1
Natural Stone Coaster Set,2023-05-18,73.18,Instagram,459,34,44,5,2
Vintage Style Linen Dress,2023-03-08,85.87,Instagram,103,57,37,17,6
Decorative Beaded Bracelet,2023-03-09,85.84,Twitter,132,88,17,7,1
Eco-Friendly Bamboo Clock,2023-03-30,60.59,Twitter,407,54,42,9,1
Handmade Ceramic Vase,2023-05-17,93.71,Twitter,308,48,8,11,2
Handcrafted Wooden Bowl,2023-04-10,22.58,Twitter,88,92,44,10,2
Organic Cotton Scarf,2023-04-28,20.77,Facebook,136,97,14,15,7
Eco-Friendly Bamboo Clock,2023-05-23,47.69,Twitter,89,76,31,10,2
Decorative Beaded Bracelet,2023-03-28,74.82,Instagram,299,58,11,4,1
Artisan Glass Earrings,2023-03-24,86.41,Twitter,214,38,29,12,2
Eco-Friendly Bamboo Clock,2023-03-29,72.14,Twitter,189,37,49,18,3
Handcrafted Wooden Bowl,2023-05-26,80.07,Instagram,170,16,28,14,5
Organic Cotton Scarf,2023-03-14,69.58,Instagram,398,94,32,3,1
Handmade Ceramic Vase,2023-05-30,63.54,Twitter,74,94,13,4,0
Personalized Leather Wallet,2023-04-25,89.93,Twitter,379,43,23,14,2
Natural Stone Coaster Set,2023-03-23,78.32,Instagram,287,77,10,2,0
Eco-Friendly Bamboo Clock,2023-03-07,60.17,Instagram,364,93,26,16,6
Handmade Ceramic Vase,2023-05-17,42.86,Instagram,378,84,50,14,5
Personalized Leather Wallet,2023-05-07,32.03,Facebook,57,50,21,13,6
Natural Stone Coaster Set,2023-04-29,97.49,Instagram,64,58,13,19,7
Organic Cotton Scarf,2023-03-02,56.84,Twitter,215,27,9,4,0
Eco-Friendly Bamboo Clock,2023-05-24,53.49,Instagram,255,34,32,13,5
Natural Stone Coaster Set,2023-03-26,95.78,Instagram,478,23,28,8,3
Handmade Ceramic Vase,2023-04-27,48.34,Facebook,353,13,29,15,7
Handcrafted Wooden Bowl,2023-03-26,56.29,Twitter,256,60,29,8,1
Custom Silver Necklace,2023-03-18,41.51,Twitter,366,16,22,4,0
Decorative Beaded Bracelet,2023-03-06,69.98,Twitter,459,80,9,0,0
Artisan Glass Earrings,2023-05-05,84.19,Instagram,186,28,32,3,1
Organic Cotton Scarf,2023-03-20,56.13,Twitter,72,26,26,17,3
Artisan Glass Earrings,2023-04-28,77.0,Instagram,250,70,44,16,6
Organic Cotton Scarf,2023-03-11,97.89,Instagram,266,56,24,10,4
Decorative Beaded Bracelet,2023-05-18,85.48,Twitter,317,88,50,17,3
Custom Silver Necklace,2023-05-27,36.24,Twitter,67,91,44,6,1
Handcrafted Wooden Bowl,2023-05-04,29.25,Instagram,474,62,19,7,2
Custom Silver Necklace,2023-05-28,94.89,Instagram,287,49,47,20,8
Handmade Ceramic Vase,2023-04-24,82.34,Twitter,469,49,11,7,1
Handcrafted Wooden Bowl,2023-03-17,47.69,Facebook,274,10,41,19,9
Vintage Style Linen Dress,2023-03-28,63.79,Twitter,407,68,36,15,3
Vintage Style Linen Dress,2023-03-08,97.89,Instagram,131,25,36,9,3
Artisan Glass Earrings,2023-05-22,59.07,Twitter,429,38,38,3,0
Decorative Beaded Bracelet,2023-04-04,36.2,Instagram,368,15,37,17,6
Vintage Style Linen Dress,2023-05-21,84.97,Facebook,238,99,24,20,10
Custom Silver Necklace,2023-04-23,70.24,Instagram,385,89,28,8,3
Artisan Glass Earrings,2023-04-29,86.18,Twitter,282,13,39,6,1
Personalized Leather Wallet,2023-04-09,82.81,Instagram,59,88,36,9,3
Natural Stone Coaster Set,2023-04-06,57.42,Facebook,217,94,6,14,7
Natural Stone Coaster Set,2023-04-12,91.01,Instagram,222,96,29,15,6
Natural Stone Coaster Set,2023-03-28,58.18,Instagram,353,93,42,5,2
Decorative Beaded Bracelet,2023-05-20,94.73,Facebook,452,80,47,19,9
Eco-Friendly Bamboo Clock,2023-03-30,92.0,Instagram,215,84,13,12,4
Artisan Glass Earrings,2023-05-24,28.18,Instagram,274,35,35,3,1
Artisan Glass Earrings,2023-04-24,63.9,Facebook,468,18,38,6,3
Custom Silver Necklace,2023-05-01,49.54,Facebook,404,59,44,14,7
Natural Stone Coaster Set,2023-04-03,61.52,Facebook,326,90,17,6,3
Decorative Beaded Bracelet,2023-03-26,30.49,Twitter,450,35,8,6,1
Organic Cotton Scarf,2023-03-21,95.95,Instagram,109,57,16,2,0
Organic Cotton Scarf,2023-03-23,34.97,Twitter,109,55,19,17,3
Artisan Glass Earrings,2023-04-23,84.13,Instagram,393,29,46,1,0
Organic Cotton Scarf,2023-04-21,50.07,Facebook,281,52,23,19,9
Eco-Friendly Bamboo Clock,2023-05-20,36.13,Facebook,292,68,26,3,1
Natural Stone Coaster Set,2023-03-27,32.97,Instagram,124,66,6,6,2
Handmade Ceramic Vase,2023-05-12,86.2,Instagram,461,75,45,7,2
Decorative Beaded Bracelet,2023-04-04,73.66,Instagram,274,12,29,2,0
Organic Cotton Scarf,2023-04-28,25.54,Facebook,147,34,14,9,4
Eco-Friendly Bamboo Clock,2023-05-24,40.48,Twitter,61,16,33,5,1
Natural Stone Coaster Set,2023-03-19,42.27,Instagram,131,47,32,10,4
Handmade Ceramic Vase,2023-05-02,83.95,Facebook,260,40,50,13,6
Eco-Friendly Bamboo Clock,2023-05-14,52.49,Instagram,343,94,37,4,1
Vintage Style Linen Dress,2023-05-22,56.99,Twitter,156,63,24,0,0
Organic Cotton Scarf,2023-03-17,89.9,Facebook,197,88,44,3,1
Custom Silver Necklace,2023-03-10,86.93,Twitter,86,96,34,5,1
Custom Silver Necklace,2023-04-06,50.4,Twitter,328,15,49,19,3
Personalized Leather Wallet,2023-05-26,27.53,Instagram,180,86,41,14,5
Natural Stone Coaster Set,2023-04-12,63.57,Instagram,274,80,31,17,6
Vintage Style Linen Dress,2023-03-05,44.91,Instagram,309,27,11,6,2
Organic Cotton Scarf,2023-05-08,89.56,Twitter,254,38,20,6,1
Personalized Leather Wallet,2023-05-13,35.95,Facebook,256,63,46,15,7
Organic Cotton Scarf,2023-03-11,54.78,Twitter,398,43,20,14,2
Eco-Friendly Bamboo Clock,2023-03-24,38.11,Instagram,168,21,37,7,2
Natural Stone Coaster Set,2023-05-03,54.77,Facebook,298,48,19,11,5
Natural Stone Coaster Set,2023-05-02,47.17,Twitter,392,26,16,2,0
Personalized Leather Wallet,2023-05-23,56.11,Facebook,87,37,45,15,7
Custom Silver Necklace,2023-04-11,40.69,Instagram,106,66,5,3,1
Custom Silver Necklace,2023-04-24,31.82,Instagram,427,37,32,8,3
Decorative Beaded Bracelet,2023-04-22,83.48,Instagram,169,62,14,17,6
Decorative Beaded Bracelet,2023-05-11,62.41,Facebook,431,56,21,6,3
Organic Cotton Scarf,2023-05-30,51.19,Instagram,292,89,13,16,6
Decorative Beaded Bracelet,2023-05-11,44.02,Twitter,389,45,22,9,1
Eco-Friendly Bamboo Clock,2023-04-12,78.0,Twitter,302,24,49,5,1
Personalized Leather Wallet,2023-03-19,52.11,Twitter,400,98,38,12,2
Natural Stone Coaster Set,2023-05-01,88.01,Facebook,355,39,20,5,2
Handmade Ceramic Vase,2023-03-29,31.91,Instagram,227,64,50,18,7
Eco-Friendly Bamboo Clock,2023-03-09,36.94,Facebook,259,90,20,13,6
Personalized Leather Wallet,2023-04-26,71.98,Instagram,190,10,10,17,6
Natural Stone Coaster Set,2023-04-13,82.55,Facebook,476,51,26,3,1
Organic Cotton Scarf,2023-04-03,75.43,Instagram,447,82,12,15,6
Custom Silver Necklace,2023-03-30,53.16,Instagram,179,60,8,13,5
Natural Stone Coaster Set,2023-03-23,55.22,Facebook,414,35,26,4,2
Handmade Ceramic Vase,2023-03-21,54.87,Twitter,330,55,31,6,1
Custom Silver Necklace,2023-03-29,86.64,Facebook,203,71,22,5,2
Decorative Beaded Bracelet,2023-04-22,82.72,Instagram,406,74,33,12,4
Handmade Ceramic Vase,2023-04-29,67.41,Instagram,339,62,44,13,5
Eco-Friendly Bamboo Clock,2023-05-12,30.76,Instagram,485,99,39,2,0
Personalized Leather Wallet,2023-04-18,63.52,Instagram,352,93,5,5,2
Personalized Leather Wallet,2023-04-07,45.39,Instagram,464,99,36,0,0
Organic Cotton Scarf,2023-05-22,90.45,Instagram,342,23,11,5,2
Natural Stone Coaster Set,2023-03-05,53.37,Instagram,211,64,10,16,6
Eco-Friendly Bamboo Clock,2023-03-26,25.19,Facebook,71,88,27,20,10
Personalized Leather Wallet,2023-03-04,21.42,Facebook,127,36,29,14,7
Eco-Friendly Bamboo Clock,2023-03-19,71.48,Facebook,324,18,26,14,7
Handmade Ceramic Vase,2023-04-09,63.87,Facebook,260,25,29,17,8
Custom Silver Necklace,2023-03-16,30.13,Twitter,282,73,7,5,1
Handcrafted Wooden Bowl,2023-04-18,96.76,Facebook,224,21,36,5,2
Eco-Friendly Bamboo Clock,2023-03-16,40.14,Twitter,459,69,13,4,0
Natural Stone Coaster Set,2023-05-05,39.14,Instagram,302,17,26,15,6
Handcrafted Wooden Bowl,2023-04-05,34.09,Twitter,147,20,26,14,2
Decorative Beaded Bracelet,2023-04-16,33.22,Twitter,260,50,43,8,1
Handcrafted Wooden Bowl,2023-03-20,35.92,Twitter,203,53,16,2,0
Decorative Beaded Bracelet,2023-03-03,20.25,Twitter,317,60,7,2,0
Vintage Style Linen Dress,2023-03-12,79.22,Twitter,58,77,50,7,1
